"""task_sizes"": [46, 2, 2, 20, 20, 2, 2, 2, 2, 2]}",,,,,,,,,,,"""task_sizes"": [56, 14, 8, 6, 4, 3, 3, 2, 2, 2]}",,,,,,,,,,"""task_sizes"": [28, 19, 13, 11, 8, 6, 5, 4, 3, 3]}",,,,,,
10 Steps(10*10),,,,,,,,,,,10 Steps(10*10),,,,,,,,,,10 Steps(10*10),,,,,,
,,,,"lam=0.3, alpha=0.5",,"lam=100, alpha=0.7",,,,,,,,"lam=0.3, alpha=0.5",,"lam=100, alpha=0.7",,,,,,,,"lam=0.3, alpha=0.5",,"lam=100, alpha=0.7",
N=8,MoE,,,L1-H512-Head512,,L1-H512-Head512,,,,,MoE,,,L1-H512-Head512,,L1-H512-Head512,,,,,MoE,,,L1-H512-Head512,,L1-H512-Head512,
,last,average,,last,average,last,average,,,,last,average,,last,average,last,average,,,,last,average,,last,average,last,average
,77.37,83.98,,77.57,83.09,84.02,88.51,,,,78.91,82.63,,79.18,83.23,84.76,87.54,,,,75.13,82.07,,76.39,82.87,78.58,85.26
,77.81,84.22,,79.74,83.35,78.81,86.48,,,,78.55,82.94,,79.24,82.97,79.68,85.62,,,,75.75,82.65,,77.58,83.13,82.15,87.78
,75.18,83.5,,79.86,83.24,76.89,86.39,,,,77.39,82.52,,79.57,83.41,82.75,88.52,,,,74.61,81.91,,77.39,83.19,83.87,89.46
,76.78666667,83.9,,79.05666667,83.22666667,79.90666667,87.12666667,,,,78.28333333,82.69666667,,79.33,83.20333333,82.39666667,87.22666667,,,,75.16333333,82.21,,77.12,83.06333333,81.53333333,87.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,
N=16,MoE,,,L1-H512-Head512,,L1-H512-Head512,,,,,MoE,,,L1-H512-Head512,,L1-H512-Head512,,,,,MoE,,,L1-H512-Head512,,L1-H512-Head512,
,last,average,,last,average,last,average,,,,last,average,,last,average,last,average,,,,last,average,,last,average,last,average
,75.65,82.51,,79.36,82.13,83.79,87.65,,,,75.72,81.7,,80.47,82.62,81.31,85,,,,72.94,80.96,,77.36,83.14,78.19,85.76
,74.7,82.41,,78.91,82.77,77.78,85.74,,,,75.9,81.31,,80.32,82.91,79.36,86.63,,,,72.45,81.76,,77.13,83.04,79.53,88.14
,77.29,82.95,,78.7,82.48,71.84,83.67,,,,77.07,81.96,,78.58,82.51,79.13,84.78,,,,73.5,81.21,,76.91,82.81,78.97,84.43
,75.88,82.62333333,,78.99,82.46,77.80333333,85.68666667,,,,76.23,81.65666667,,79.79,82.68,79.93333333,85.47,,,,72.96333333,81.31,,77.13333333,82.99666667,78.89666667,86.11
,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""task_sizes"": [13, 5, 4, 19, 8, 11, 28, 6, 3, 3]",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"lam=0.3, alpha=0.5",,"lam=100, alpha=0.7",,,,,"""task_sizes"": [3, 3, 4, 5, 6, 8, 11, 13, 19, 28]",,,,,,,,,,,,,,,,
N=8,MoE,,,L1-H512-Head512,,L1-H512-Head512,,,,,,,,"lam=0.3, alpha=0.5",,"lam=100, alpha=0.7",,,,,,,,,,,
,last,average,,last,average,last,average,,,,MoE,,,L1-H512-Head512,,L1-H512-Head512,,,,,,,,,,,
,74.75,85.15,,76.37,85.68,83.56,90.51,,,,last,average,,last,average,last,average,,,,,,,,,,
,73.67,85.39,,76.97,85.92,86.27,92.11,,,,79.55,90.12,,77.43,90.32,,,,,,,,,,,,
,74.03,85.29,,76.67,85.7,82.59,90.1,,,,79.07,90.28,,77.33,90.48,,,,,,,,,,,,
,74.15,85.27666667,,76.67,85.76666667,84.14,90.90666667,,,,78.74,90.09,,76.78,90.46,,,,,,,,,,,,
,,,,,,,,,,,79.12,90.16333333,,77.18,90.42,,,,,,,,,,,,
N=16,MoE,,,L1-H512-Head512,,L1-H512-Head512,,,,,,,,,,,,,,,,,,,,,
,last,average,,last,average,last,average,,,,MoE,,,L1-H512-Head512,,L1-H512-Head512,,,,,,,,,,,
,72.56,84.38,,76.18,85.12,85.31,91.83,,,,last,average,,last,average,last,average,,,,,,,,,,
,73.87,84.52,,76.59,85.41,81.16,89.4,,,,78.39,89.78,,75.69,90.11,,,,,,,,,,,,
,73.52,84.7,,76.68,85.63,82.96,90.73,,,,77.57,89.58,,75.8,90.05,,,,,,,,,,,,
,73.31666667,84.53333333,,76.48333333,85.38666667,83.14333333,90.65333333,,,,77.57,89.42,,76.11,89.97,,,,,,,,,,,,
,,,,,,,,,,,77.84333333,89.59333333,,75.86666667,90.04333333,,,,,,,,,,,,
Note: 6000,,,,,,,,,,,,,,,,,,,,,,,,,,,
